City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
289,Balaipungut,1.05,101.2833,87.8,51,100,9.22,ID,2021-04-01 06:23:05,overcast clouds
290,Zharkent,44.1628,80.0,50.13,33,95,4.63,KZ,2021-04-01 06:23:05,overcast clouds
291,Vangaindrano,-23.35,47.6,76.17,77,45,3.0,MG,2021-04-01 06:23:05,light rain
292,Pacific Grove,36.6177,-121.9166,62.01,39,1,5.12,US,2021-04-01 06:19:06,clear sky
293,Ulaanbaatar,47.9077,106.8832,32.0,80,75,20.13,MN,2021-04-01 06:23:06,broken clouds
294,Ayan,56.45,138.1667,31.64,72,77,3.4,RU,2021-04-01 06:23:06,broken clouds
295,Tezu,27.9167,96.1667,90.09,27,85,4.54,IN,2021-04-01 06:23:06,overcast clouds
296,Abalak,58.1286,68.5944,33.33,81,100,12.35,RU,2021-04-01 06:23:06,overcast clouds
297,Orda,57.1951,56.9091,33.1,99,100,18.52,RU,2021-04-01 06:23:07,snow
298,Svobodnyy,51.4,128.1333,48.24,32,26,12.88,RU,2021-04-01 06:19:05,scattered clouds
299,Zhigansk,66.7697,123.3711,13.53,85,100,9.1,RU,2021-04-01 06:20:52,overcast clouds
300,Cartagena,10.3997,-75.5144,78.8,83,40,5.75,CO,2021-04-01 06:23:07,scattered clouds
301,Isla Vista,34.4133,-119.861,51.8,87,1,4.34,US,2021-04-01 06:23:07,clear sky
302,Kintampo,8.0563,-1.7306,75.49,77,52,2.8,GH,2021-04-01 06:21:19,broken clouds
303,Caloundra,-26.8,153.1333,71.01,89,27,1.01,AU,2021-04-01 06:21:03,light rain
304,Santarem,-2.4431,-54.7083,72.7,97,100,2.84,BR,2021-04-01 06:21:06,moderate rain
305,La Baneza,42.3003,-5.8977,57.99,43,0,4.61,ES,2021-04-01 06:23:07,clear sky
306,Bhitarwar,25.8,78.1167,91.4,6,1,11.5,IN,2021-04-01 06:23:08,clear sky
307,Simitli,41.8833,23.1167,46.0,80,41,6.08,BG,2021-04-01 06:23:08,scattered clouds
308,Forestville,38.8451,-76.875,48.2,93,75,19.57,US,2021-04-01 06:23:08,broken clouds
309,San Cristobal,7.7669,-72.225,66.67,84,99,2.66,VE,2021-04-01 06:21:46,overcast clouds
310,Sidi Ali,36.0998,0.4206,61.56,36,65,10.13,DZ,2021-04-01 06:23:08,broken clouds
311,Port Townsend,48.117,-122.7605,45.0,81,100,5.01,US,2021-04-01 06:23:09,overcast clouds
312,Vysha,53.8477,42.3777,38.7,91,100,12.44,RU,2021-04-01 06:23:09,overcast clouds
313,Carrollton,32.9537,-96.8903,53.01,30,1,4.61,US,2021-04-01 06:23:09,clear sky
314,Kushima,31.4583,131.2333,68.0,68,75,17.27,JP,2021-04-01 06:19:24,broken clouds
315,Bathsheba,13.2167,-59.5167,77.0,65,40,21.85,BB,2021-04-01 06:18:48,scattered clouds
316,Northam,51.0333,-4.2167,51.01,89,100,4.0,GB,2021-04-01 06:19:38,overcast clouds
317,Shiyan,32.6475,110.7781,51.78,94,100,1.83,CN,2021-04-01 06:23:09,light rain
318,Santo Tomas,14.1079,121.1414,93.2,49,20,1.14,PH,2021-04-01 06:23:10,few clouds
319,Veraval,20.9,70.3667,86.36,54,5,11.83,IN,2021-04-01 06:20:19,clear sky
320,Kamenka,51.3223,42.7678,41.0,82,85,1.01,RU,2021-04-01 06:23:10,overcast clouds
321,Rapid Valley,44.0625,-103.1463,34.0,46,1,4.61,US,2021-04-01 06:23:10,clear sky
322,Tuy Hoa,13.0833,109.3,90.57,56,14,14.32,VN,2021-04-01 06:23:10,few clouds
323,Cockburn Town,21.4612,-71.1419,76.98,71,1,21.56,TC,2021-04-01 06:19:22,clear sky
324,Hatillo,18.4863,-66.8254,73.99,82,8,11.34,PR,2021-04-01 06:23:11,clear sky
325,Tongzi,28.7829,105.0877,61.2,69,100,7.56,CN,2021-04-01 06:20:44,overcast clouds
326,Tukrah,32.5341,20.5791,54.32,72,0,2.08,LY,2021-04-01 06:23:11,clear sky
327,Kaeo,-35.1,173.7833,63.0,92,26,3.0,NZ,2021-04-01 06:20:34,scattered clouds
328,Bima,-8.4667,118.7167,83.66,82,48,1.52,ID,2021-04-01 06:21:34,light rain
329,Tiksi,71.6872,128.8694,-3.48,96,100,10.76,RU,2021-04-01 06:19:56,overcast clouds
