City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,Kavieng,-2.5744,150.7967,85.33,68,100,10.22,PG,2021-03-30 03:55:08
283,Bethel,41.3712,-73.414,39.2,48,1,0.2,US,2021-03-30 03:55:08
284,Bambous Virieux,-20.3428,57.7575,86.0,88,40,4.61,MU,2021-03-30 03:52:04
285,Havoysund,70.9963,24.6622,35.6,75,75,11.5,NO,2021-03-30 03:55:09
286,Terrace,54.5163,-128.6035,35.6,69,90,4.61,CA,2021-03-30 03:55:09
287,Ileza,61.0533,43.9002,29.97,91,100,12.41,RU,2021-03-30 03:55:09
288,Cayenne,4.9333,-52.3333,80.01,94,75,10.36,GF,2021-03-30 03:55:09
289,Pemangkat,1.1667,108.9667,83.48,73,81,6.35,ID,2021-03-30 03:52:29
290,Atar,20.5169,-13.0499,73.74,29,7,8.79,MR,2021-03-30 03:55:10
291,Waingapu,-9.6567,120.2641,82.49,80,99,14.29,ID,2021-03-30 03:55:10
292,Safaga,26.7292,33.9365,57.2,54,0,12.66,EG,2021-03-30 03:55:10
293,Sioux Lookout,50.1001,-91.917,42.8,56,90,13.8,CA,2021-03-30 03:51:32
294,Kapoeta,4.7717,33.5903,79.74,43,59,7.05,SS,2021-03-30 03:55:11
295,Narsaq,60.9167,-46.05,24.8,54,75,3.44,GL,2021-03-30 03:54:28
296,Palmer,42.1584,-72.3287,37.4,44,1,5.75,US,2021-03-30 03:51:09
297,Cockburn Town,21.4612,-71.1419,77.41,82,0,23.85,TC,2021-03-30 03:55:11
298,Northview,43.0456,-85.6006,50.0,46,1,19.57,US,2021-03-30 03:55:12
299,Antofagasta,-23.65,-70.4,60.8,82,0,9.22,CL,2021-03-30 03:50:15
300,Wuwei,37.9281,102.6414,55.87,21,98,6.64,CN,2021-03-30 03:55:12
301,Kyzyl-Suu,42.3414,78.0056,33.08,75,100,3.15,KG,2021-03-30 03:55:12
302,Point Pedro,9.8167,80.2333,87.06,63,55,13.96,LK,2021-03-30 03:55:13
303,Kahului,20.8947,-156.47,78.8,69,40,12.66,US,2021-03-30 03:55:13
304,Marsa Matruh,31.3525,27.2453,59.0,58,40,12.66,EG,2021-03-30 03:55:13
305,Kloulklubed,7.0419,134.2556,86.0,70,75,8.05,PW,2021-03-30 03:55:14
306,Kitaotao,7.6397,125.0089,84.87,58,82,2.33,PH,2021-03-30 03:55:14
307,Baoqing,46.3317,132.2111,39.06,90,100,9.64,CN,2021-03-30 03:51:15
308,Los Llanos De Aridane,28.6585,-17.9182,62.6,82,20,5.75,ES,2021-03-30 03:55:14
309,Usilampatti,9.9667,77.8,89.6,51,87,5.75,IN,2021-03-30 03:55:14
310,Tuatapere,-46.1333,167.6833,64.0,76,100,1.99,NZ,2021-03-30 03:55:14
311,Marawi,7.9986,124.2928,82.99,80,90,5.01,PH,2021-03-30 03:55:15
312,Saint-Pierre,-21.3393,55.4781,80.6,65,0,5.75,RE,2021-03-30 03:55:15
313,Campos,-21.75,-41.3,73.62,93,100,2.01,BR,2021-03-30 03:54:30
314,Sananduva,-27.9497,-51.8067,54.46,96,90,2.86,BR,2021-03-30 03:55:15
315,Vila Velha,-20.3297,-40.2925,78.8,78,0,10.36,BR,2021-03-30 03:55:15
316,Santa Rita,-7.1139,-34.9781,77.0,100,0,3.44,BR,2021-03-30 03:55:16
317,Chuy,-33.6971,-53.4616,66.56,86,84,10.78,UY,2021-03-30 03:51:51
318,Vanimo,-2.6741,141.3028,82.65,79,100,3.4,PG,2021-03-30 03:55:16
319,Ust-Koksa,50.2696,85.6108,23.05,65,17,2.89,RU,2021-03-30 03:55:16
320,Maceio,-9.6658,-35.7353,77.0,94,40,2.3,BR,2021-03-30 03:53:09
321,Carutapera,-1.195,-46.02,76.12,93,94,5.7,BR,2021-03-30 03:55:17
322,Goma,-1.6792,29.2228,63.93,82,100,2.26,CD,2021-03-30 03:55:01
323,Keita,14.7551,5.7749,75.2,9,1,16.11,NE,2021-03-30 03:55:17
324,Kirkland Lake,48.1446,-80.0377,28.4,80,100,10.83,CA,2021-03-30 03:55:17
325,Rumford,44.5537,-70.5509,32.0,60,2,1.99,US,2021-03-30 03:54:53
326,Polje,43.8806,18.0744,35.6,100,0,1.14,BA,2021-03-30 03:55:17
327,Mapiripan,2.8892,-72.1256,73.71,93,85,3.87,CO,2021-03-30 03:55:18
328,New Norfolk,-42.7826,147.0587,70.0,53,61,5.01,AU,2021-03-30 03:55:18
329,Byron Bay,-28.65,153.6167,73.99,94,75,13.8,AU,2021-03-30 03:55:18
330,Kupino,54.3663,77.2981,20.07,91,97,9.44,RU,2021-03-30 03:55:19
331,Gat,31.61,34.7642,50.0,81,0,2.3,IL,2021-03-30 03:51:59
332,Chicama,-7.8447,-79.1469,73.54,74,100,6.02,PE,2021-03-30 03:55:19
333,Baiyin,36.5583,104.2081,51.8,24,99,8.95,CN,2021-03-30 03:55:19
334,Marzuq,14.4,46.4667,72.07,20,77,1.74,YE,2021-03-30 03:55:20
335,Alta Floresta,-9.8756,-56.0861,71.31,94,89,1.45,BR,2021-03-30 03:55:20
336,Pizarro,4.9533,-77.366,76.98,92,66,5.95,CO,2021-03-30 03:55:20
337,Praxedis Guerrero,31.3667,-106.0167,69.8,14,20,3.44,MX,2021-03-30 03:55:20
338,Vuktyl,63.8567,57.3094,32.74,94,100,7.61,RU,2021-03-30 03:55:21
339,Ustye,59.6304,39.736,34.88,85,100,15.41,RU,2021-03-30 03:55:21
340,Rawson,-43.3002,-65.1023,60.71,81,7,19.06,AR,2021-03-30 03:55:21
341,Saldanha,-33.0117,17.9442,62.6,88,7,2.3,ZA,2021-03-30 03:55:21
342,Gursahaiganj,27.1167,79.7167,94.5,9,1,7.27,IN,2021-03-30 03:55:21
343,Haines Junction,60.7522,-137.5108,30.2,55,100,2.3,CA,2021-03-30 03:55:22
344,Tadine,-21.55,167.8833,81.3,69,83,10.94,NC,2021-03-30 03:55:22
345,Jenjarom,2.8766,101.4988,87.8,70,20,2.3,MY,2021-03-30 03:55:22
346,Salalah,17.0151,54.0924,89.6,17,0,21.85,OM,2021-03-30 03:50:54
347,Lunenburg,44.3835,-64.3155,37.4,52,37,23.02,CA,2021-03-30 03:55:22
348,Wasilla,61.5814,-149.4394,39.2,70,90,5.75,US,2021-03-30 03:55:23
349,Joensuu,62.6012,29.7632,39.99,93,90,11.5,FI,2021-03-30 03:50:42
350,Canton,23.1167,113.25,91.99,46,54,9.08,CN,2021-03-30 03:55:23
351,Ahja,58.2091,27.0734,46.0,100,90,12.66,EE,2021-03-30 03:55:23
